agent,prey,pred,agentPreyDist,agentPredDist,preyPredDist,utility
0,9,45,5,2,7,2.953689401277421
0,9,46,5,3,8,2.9403354931592074
0,9,47,5,3,7,2.953689401277421
0,9,48,5,2,6,inf
0,9,49,5,1,6,inf
0,10,0,6,0,6,inf
0,10,1,6,1,5,inf
0,10,2,6,2,6,inf
0,10,3,6,2,6,inf
0,10,4,6,1,6,inf
0,10,5,6,2,5,3.075687060102761
0,10,6,6,2,4,3.075682447101518
0,10,7,6,3,3,3.0756661745121385
0,10,8,6,4,2,3.075442730624985
0,10,9,6,5,1,3.075397886400973
0,10,10,6,6,0,3.0736027120512714
0,10,11,6,5,1,3.075397886400973
0,10,12,6,4,2,3.075442730624985
0,10,13,6,5,2,3.07538320046249
0,10,14,6,6,1,3.070163026765298
0,10,15,6,7,2,3.06367101508042
0,10,16,6,8,3,3.0341815124066476
0,10,17,6,9,4,3.033389638200639
0,10,18,6,8,3,3.0346655350593865
0,10,19,6,9,4,3.028775959987278
0,10,20,6,10,5,2.99243236273274
0,10,21,6,9,4,3.027077813477991
0,10,22,6,10,5,2.9865315476893546
0,10,23,6,11,6,2.981177371448318
0,10,24,6,11,6,2.985063807739852
0,10,25,6,11,7,2.960677740320893
0,10,26,6,11,6,2.9803104900523314
0,10,27,6,11,7,2.95958023719965
0,10,28,6,10,8,2.9410057049008413
0,10,29,6,9,9,2.9375093555456933
0,10,30,6,10,10,2.936616301081588
0,10,31,6,10,11,2.9359678801439166
0,10,32,6,10,11,2.9359678801439166
0,10,33,6,9,11,2.9360808748279705
0,10,34,6,8,10,2.935898894889356
0,10,35,6,7,11,2.936970558929933
0,10,36,6,7,12,2.936941501279753
0,10,37,6,6,12,2.9382740522121384
0,10,38,6,7,13,2.937101240178299
0,10,39,6,6,12,2.9382735193498077
0,10,40,6,5,11,2.9420839635333538
0,10,41,6,4,10,2.9462910255923127
0,10,42,6,4,10,2.946816031811303
0,10,43,6,4,9,2.9551792088650215
0,10,44,6,3,9,2.9551792088650215
0,10,45,6,2,8,2.9692321910762365
0,10,46,6,3,9,2.95634384101217
0,10,47,6,3,8,2.9692321910762365
0,10,48,6,2,7,inf
0,10,49,6,1,7,inf
0,11,0,5,0,5,inf
0,11,1,5,1,4,inf
0,11,2,5,2,5,inf
0,11,3,5,2,5,inf
0,11,4,5,1,5,inf
0,11,5,5,2,4,3.0759088360636575
0,11,6,5,2,3,3.0758822188949466
0,11,7,5,3,2,3.075715069470544
0,11,8,5,4,2,3.074822825462758
